







root:	 win_komis:1557328	 total_komis:3394546	 total_plays:69559
Node:8 2	win_komis:79164	 total_komis:145652	 total_plays:3068	 pattern_win:0
Node:8 3	win_komis:323	 total_komis:1173	 total_plays:23	 pattern_win:0
Node:8 4	win_komis:79526	 total_komis:145924	 total_plays:2988	 pattern_win:0
Node:8 5	win_komis:4249	 total_komis:8481	 total_plays:194	 pattern_win:0
Node:8 6	win_komis:7708	 total_komis:14842	 total_plays:299	 pattern_win:0
Node:8 7	win_komis:3158	 total_komis:6582	 total_plays:136	 pattern_win:0
Node:8 8	win_komis:100304	 total_komis:184190	 total_plays:3830	 pattern_win:0
Node:8 9	win_komis:7910	 total_komis:15172	 total_plays:299	 pattern_win:0
Node:8 10	win_komis:68056	 total_komis:124902	 total_plays:2539	 pattern_win:0
Node:8 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:8 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 2	win_komis:10780	 total_komis:20478	 total_plays:413	 pattern_win:0
Node:9 3	win_komis:5115	 total_komis:10017	 total_plays:193	 pattern_win:0
Node:9 4	win_komis:67282	 total_komis:123508	 total_plays:2508	 pattern_win:0
Node:9 5	win_komis:854	 total_komis:2142	 total_plays:35	 pattern_win:0
Node:9 6	win_komis:5725	 total_komis:11637	 total_plays:216	 pattern_win:0
Node:9 7	win_komis:230	 total_komis:1144	 total_plays:20	 pattern_win:0
Node:9 8	win_komis:12709	 total_komis:24119	 total_plays:504	 pattern_win:0
Node:9 9	win_komis:414	 total_komis:1478	 total_plays:26	 pattern_win:0
Node:9 10	win_komis:8514	 total_komis:16366	 total_plays:342	 pattern_win:0
Node:9 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 2	win_komis:10407	 total_komis:19661	 total_plays:411	 pattern_win:0
Node:10 3	win_komis:19363	 total_komis:36125	 total_plays:758	 pattern_win:0
Node:10 4	win_komis:967	 total_komis:2369	 total_plays:57	 pattern_win:0
Node:10 5	win_komis:67266	 total_komis:120936	 total_plays:2576	 pattern_win:0
Node:10 6	win_komis:8591	 total_komis:16721	 total_plays:343	 pattern_win:0
Node:10 7	win_komis:2429	 total_komis:5049	 total_plays:110	 pattern_win:0
Node:10 8	win_komis:4978	 total_komis:9992	 total_plays:207	 pattern_win:0
Node:10 9	win_komis:7618	 total_komis:15024	 total_plays:311	 pattern_win:0
Node:10 10	win_komis:444	 total_komis:1428	 total_plays:24	 pattern_win:0
Node:10 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0








root:	 win_komis:1670068	 total_komis:3603996	 total_plays:74389
Node:0 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
